mode,deadline_ms,induced_delay_ms,gateway_released,reason,age_at_check_ms,age_at_middleware_ms,late_at_check,late_at_middleware
xair,100,96.0,0,deadline exceeded: elapsed 109.6ms > 100ms at release_at_publish,109.551025390625,,0,0
xair,100,85.5,1,published_after_gate_recheck,98.42919921875,98.491943359375,0,0
xair,100,85.5,0,deadline exceeded: elapsed 100.7ms > 100ms at release_at_publish,100.704345703125,,0,0
xair,100,86.5,0,deadline exceeded: elapsed 100.2ms > 100ms at release_at_publish,100.16357421875,,0,0
xair_atomic,100,85.5,1,authorization_committed,97.3857421875,99.04833984375,0,0
xair,100,99.0,0,deadline exceeded: elapsed 114.0ms > 100ms at release_at_publish,114.042236328125,,0,0
xair_atomic,100,93.0,0,age_bound_exceeded_at_commit,104.625,,0,0
xair_atomic,100,94.5,0,age_bound_exceeded_at_commit,106.86596679688,,0,0
xair_atomic,100,99.0,0,age_bound_exceeded_at_commit,110.11499023438,,0,0
xair_atomic,100,100.0,0,age_bound_exceeded_at_commit,111.61303710938,,0,0
xair,100,91.0,0,deadline exceeded: elapsed 104.9ms > 100ms at release_at_publish,104.93994140625,,0,0
xair_atomic,100,91.5,0,age_bound_exceeded_at_commit,101.75390625,,0,0
xair,100,93.0,0,deadline exceeded: elapsed 106.5ms > 100ms at release_at_publish,106.481689453125,,0,0
xair,100,90.0,0,deadline exceeded: elapsed 102.3ms > 100ms at release_at_publish,102.239013671875,,0,0
xair,100,104.5,0,deadline exceeded: elapsed 117.3ms > 100ms at release_at_publish,117.2646484375,,0,0
xair_atomic,100,90.5,0,age_bound_exceeded_at_commit,103.86694335938,,0,0
xair,100,103.5,0,deadline exceeded: elapsed 117.7ms > 100ms at release_at_publish,117.69677734375,,0,0
xair_atomic,100,93.0,0,age_bound_exceeded_at_commit,104.29418945312,,0,0
xair_atomic,100,94.5,0,age_bound_exceeded_at_commit,105.36694335938,,0,0
xair_atomic,100,104.5,0,age_bound_exceeded_at_commit,115.60107421875,,0,0
xair_atomic,100,90.5,0,age_bound_exceeded_at_commit,102.36596679688,,0,0
xair,100,99.5,0,deadline exceeded: elapsed 111.7ms > 100ms at release_at_publish,111.670654296875,,0,0
xair_atomic,100,100.0,0,age_bound_exceeded_at_commit,111.02490234375,,0,0
xair,100,91.5,0,deadline exceeded: elapsed 104.0ms > 100ms at release_at_publish,104.037109375,,0,0
xair,100,95.5,0,deadline exceeded: elapsed 109.2ms > 100ms at release_at_publish,109.222412109375,,0,0
xair,100,97.0,0,deadline exceeded: elapsed 111.1ms > 100ms at release_at_publish,111.057861328125,,0,0
xair,100,102.0,0,deadline exceeded: elapsed 115.6ms > 100ms at release_at_publish,115.594970703125,,0,0
xair,100,96.5,0,deadline exceeded: elapsed 110.9ms > 100ms at release_at_publish,110.89013671875,,0,0
xair,100,91.0,0,deadline exceeded: elapsed 104.3ms > 100ms at release_at_publish,104.290771484375,,0,0
xair,100,86.0,1,published_after_gate_recheck,99.987548828125,100.01708984375,0,1
xair_atomic,100,85.0,1,authorization_committed,96.760009765625,98.550537109375,0,0
xair,100,86.5,0,deadline exceeded: elapsed 101.3ms > 100ms at release_at_publish,101.289794921875,,0,0
xair_atomic,100,98.0,0,age_bound_exceeded_at_commit,113.11987304688,,0,0
xair,100,94.0,0,deadline exceeded: elapsed 108.2ms > 100ms at release_at_publish,108.178466796875,,0,0
xair,100,93.5,0,deadline exceeded: elapsed 106.5ms > 100ms at release_at_publish,106.500244140625,,0,0
xair,100,103.0,0,deadline exceeded: elapsed 119.4ms > 100ms at release_at_publish,119.4267578125,,0,0
xair,100,100.0,0,deadline exceeded: elapsed 114.3ms > 100ms at release_at_publish,114.315185546875,,0,0
xair_atomic,100,104.0,0,age_bound_exceeded_at_commit,115.17407226562,,0,0
xair_atomic,100,99.5,0,age_bound_exceeded_at_commit,110.38110351562,,0,0
xair_atomic,100,91.0,0,age_bound_exceeded_at_commit,103.26196289062,,0,0
xair_atomic,100,92.5,0,age_bound_exceeded_at_commit,104.32397460938,,0,0
xair,100,93.5,0,deadline exceeded: elapsed 106.3ms > 100ms at release_at_publish,106.305419921875,,0,0
xair_atomic,100,89.5,0,age_bound_exceeded_at_commit,102.875,,0,0
xair,100,98.5,0,deadline exceeded: elapsed 112.8ms > 100ms at release_at_publish,112.820068359375,,0,0
xair_atomic,100,102.0,0,age_bound_exceeded_at_commit,112.69189453125,,0,0
xair_atomic,100,97.5,0,age_bound_exceeded_at_commit,108.30810546875,,0,0
xair,100,87.5,1,published_after_gate_recheck,99.29296875,99.34521484375,0,0
xair,100,90.0,0,deadline exceeded: elapsed 101.9ms > 100ms at release_at_publish,101.88134765625,,0,0
xair_atomic,100,91.0,0,age_bound_exceeded_at_commit,101.57080078125,,0,0
xair,100,97.0,0,deadline exceeded: elapsed 107.9ms > 100ms at release_at_publish,107.938720703125,,0,0
xair,100,96.0,0,deadline exceeded: elapsed 108.8ms > 100ms at release_at_publish,108.832763671875,,0,0
xair_atomic,100,85.0,1,authorization_committed,95.237060546875,96.7529296875,0,0
xair_atomic,100,89.5,0,age_bound_exceeded_at_commit,101.5830078125,,0,0
xair_atomic,100,102.5,0,age_bound_exceeded_at_commit,115.0361328125,,0,0
xair,100,95.0,0,deadline exceeded: elapsed 108.1ms > 100ms at release_at_publish,108.10400390625,,0,0
xair,100,97.0,0,deadline exceeded: elapsed 112.3ms > 100ms at release_at_publish,112.284912109375,,0,0
xair_atomic,100,103.0,0,age_bound_exceeded_at_commit,114.71508789062,,0,0
xair,100,95.5,0,deadline exceeded: elapsed 109.4ms > 100ms at release_at_publish,109.354736328125,,0,0
xair,100,90.5,0,deadline exceeded: elapsed 104.5ms > 100ms at release_at_publish,104.529296875,,0,0
xair,100,94.5,0,deadline exceeded: elapsed 110.4ms > 100ms at release_at_publish,110.357421875,,0,0
xair,100,97.5,0,deadline exceeded: elapsed 110.4ms > 100ms at release_at_publish,110.412109375,,0,0
xair,100,85.5,0,deadline exceeded: elapsed 100.8ms > 100ms at release_at_publish,100.744140625,,0,0
xair_atomic,100,91.5,0,age_bound_exceeded_at_commit,103.27026367188,,0,0
xair,100,88.0,0,deadline exceeded: elapsed 101.8ms > 100ms at release_at_publish,101.78955078125,,0,0
xair,100,91.0,0,deadline exceeded: elapsed 103.8ms > 100ms at release_at_publish,103.8388671875,,0,0
xair,100,94.5,0,deadline exceeded: elapsed 107.5ms > 100ms at release_at_publish,107.445068359375,,0,0
xair,100,90.5,0,deadline exceeded: elapsed 103.6ms > 100ms at release_at_publish,103.54541015625,,0,0
xair_atomic,100,96.5,0,age_bound_exceeded_at_commit,107.67993164062,,0,0
xair_atomic,100,100.0,0,age_bound_exceeded_at_commit,111.09692382812,,0,0
xair_atomic,100,86.5,1,authorization_committed,98.943115234375,100.716064453125,0,1
xair,100,94.0,0,deadline exceeded: elapsed 105.9ms > 100ms at release_at_publish,105.857177734375,,0,0
xair,100,104.5,0,deadline exceeded: elapsed 118.6ms > 100ms at release_at_publish,118.584716796875,,0,0
xair_atomic,100,98.5,0,age_bound_exceeded_at_commit,110.19995117188,,0,0
xair,100,103.0,0,deadline exceeded: elapsed 115.5ms > 100ms at release_at_publish,115.4716796875,,0,0
xair_atomic,100,97.5,0,age_bound_exceeded_at_commit,108.27294921875,,0,0
xair_atomic,100,105.0,0,age_bound_exceeded_at_commit,115.10791015625,,0,0
xair_atomic,100,103.5,0,age_bound_exceeded_at_commit,114.68408203125,,0,0
xair,100,94.0,0,deadline exceeded: elapsed 106.7ms > 100ms at release_at_publish,106.67431640625,,0,0
xair_atomic,100,95.5,0,age_bound_exceeded_at_commit,106.7138671875,,0,0
xair_atomic,100,90.0,0,age_bound_exceeded_at_commit,103.1630859375,,0,0
xair_atomic,100,87.0,1,authorization_committed,97.7587890625,99.78271484375,0,0
xair,100,100.5,0,deadline exceeded: elapsed 114.5ms > 100ms at release_at_publish,114.456298828125,,0,0
xair_atomic,100,95.5,0,age_bound_exceeded_at_commit,107.72094726562,,0,0
xair,100,101.0,0,deadline exceeded: elapsed 113.7ms > 100ms at release_at_publish,113.68408203125,,0,0
xair,100,95.0,0,deadline exceeded: elapsed 109.0ms > 100ms at release_at_publish,109.011474609375,,0,0
xair,100,85.5,1,published_after_gate_recheck,99.034912109375,99.104736328125,0,0
xair_atomic,100,99.5,0,age_bound_exceeded_at_commit,111.578125,,0,0
xair,100,99.0,0,deadline exceeded: elapsed 112.9ms > 100ms at release_at_publish,112.86279296875,,0,0
xair_atomic,100,92.0,0,age_bound_exceeded_at_commit,103.58203125,,0,0
xair_atomic,100,103.5,0,age_bound_exceeded_at_commit,116.30297851562,,0,0
xair_atomic,100,98.5,0,age_bound_exceeded_at_commit,111.47509765625,,0,0
xair_atomic,100,95.0,0,age_bound_exceeded_at_commit,107.65795898438,,0,0
xair_atomic,100,103.5,0,age_bound_exceeded_at_commit,115.90502929688,,0,0
xair,100,86.0,0,deadline exceeded: elapsed 100.4ms > 100ms at release_at_publish,100.386474609375,,0,0
xair_atomic,100,102.5,0,age_bound_exceeded_at_commit,114.59814453125,,0,0
xair_atomic,100,105.0,0,age_bound_exceeded_at_commit,116.55297851562,,0,0
xair_atomic,100,96.0,0,age_bound_exceeded_at_commit,107.61889648438,,0,0
xair,100,89.0,0,deadline exceeded: elapsed 103.1ms > 100ms at release_at_publish,103.08203125,,0,0
xair,100,90.0,0,deadline exceeded: elapsed 104.4ms > 100ms at release_at_publish,104.368408203125,,0,0
xair,100,95.0,0,deadline exceeded: elapsed 111.2ms > 100ms at release_at_publish,111.192138671875,,0,0
xair,100,90.0,0,deadline exceeded: elapsed 105.7ms > 100ms at release_at_publish,105.647705078125,,0,0
xair,100,102.0,0,deadline exceeded: elapsed 117.2ms > 100ms at release_at_publish,117.156005859375,,0,0
xair_atomic,100,103.5,0,age_bound_exceeded_at_commit,115.27905273438,,0,0
xair_atomic,100,91.0,0,age_bound_exceeded_at_commit,102.96997070312,,0,0
xair_atomic,100,97.0,0,age_bound_exceeded_at_commit,108.81494140625,,0,0
xair_atomic,100,85.0,1,authorization_committed,96.993896484375,98.7158203125,0,0
xair,100,102.0,0,deadline exceeded: elapsed 114.8ms > 100ms at release_at_publish,114.744384765625,,0,0
xair_atomic,100,88.5,1,authorization_committed,99.716064453125,101.47900390625,0,1
xair,100,92.0,0,deadline exceeded: elapsed 105.4ms > 100ms at release_at_publish,105.37255859375,,0,0
xair_atomic,100,101.5,0,age_bound_exceeded_at_commit,113.3720703125,,0,0
xair,100,105.0,0,deadline exceeded: elapsed 118.9ms > 100ms at release_at_publish,118.90576171875,,0,0
xair_atomic,100,93.5,0,age_bound_exceeded_at_commit,106.45703125,,0,0
xair,100,101.5,0,deadline exceeded: elapsed 114.9ms > 100ms at release_at_publish,114.8896484375,,0,0
xair,100,102.5,0,deadline exceeded: elapsed 117.9ms > 100ms at release_at_publish,117.876220703125,,0,0
