run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,position_vs_middleware,residual_lo_ms,residual_hi_ms,t_middleware_ms,store_io_lo_ms,store_io_hi_ms,injection_store_lo_ms,injection_store_hi_ms,commit_status,commit_age_ms,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
214,xair,1,55.0,50.0,after_release,1,0,0,0,1,377,376,after_check,0,after_middleware,1.003543846309185,2.2948365658521652,59.976061806082726,57.68122524023056,58.97251795977354,65.78906113281846,66.78180303424597,,,EXECUTE,published_after_gate_recheck,54.71136188134551,54.71848603338003,0.007124152034521103,5.264569073915482,60.532255098223686,69.04809596017003,55.558191146701574,59.97593095526099,59.98305510729551
215,xair,1,55.0,50.0,concurrent,1,0,0,1,0,379,378,after_check,0,after_middleware,1.8793274648487568,3.5950271412730217,62.787809409201145,59.19278226792812,60.90848194435239,65.13285962864757,66.5498492307961,,,EXECUTE,published_after_gate_recheck,57.808354031294584,57.833020109683275,0.02466607838869095,4.979295190423727,60.2338663302362,68.79002321511507,55.322919972240925,62.78764922171831,62.812315300107
216,xair,0,,50.0,control,1,0,0,0,0,,380,control,0,,1.0289712809026241,2.1380120888352394,58.52393712848425,56.38592503964901,57.494965847581625,,,,,EXECUTE,published_after_gate_recheck,54.47544017806649,54.4857089407742,0.010268762707710266,4.048376809805632,,,54.154457058757544,58.523816987872124,58.534085750579834
217,xair,1,55.0,50.0,after_release,1,0,0,0,1,382,381,after_check,0,after_middleware,0.9671039879322052,1.9450299441814423,58.97374078631401,57.02871084213257,58.006636798381805,64.32344065979123,65.60198962688446,,,EXECUTE,published_after_gate_recheck,54.42767031490803,54.4372983276844,0.009628012776374817,4.545940551906824,59.72265684977174,67.39185890182853,54.782355669885874,58.97361086681485,58.98323887959123
218,xair,1,55.0,50.0,after_release,1,0,0,0,1,384,383,after_check,0,after_middleware,0.8819550275802612,2.152979839593172,59.42247295752168,57.269493117928505,58.540517929941416,64.4722799770534,65.4938668012619,,,EXECUTE,published_after_gate_recheck,54.795701056718826,54.80204289779067,0.006341841071844101,4.626662004739046,59.807595796883106,67.55778985098004,54.831346962600946,59.42236306145787,59.42870490252972
219,xair,0,,50.0,control,1,0,0,0,0,,385,control,0,,1.0139928199350834,2.14791065081954,59.45413280278444,57.3062221519649,58.44013998284936,,,,,EXECUTE,published_after_gate_recheck,54.67687686905265,54.685092996805906,0.008216127753257751,4.777154885232449,,,54.86796610057354,59.4540317542851,59.462247882038355
220,xair,1,55.0,50.0,concurrent,1,0,0,1,0,387,386,after_check,0,after_middleware,1.131473109126091,2.454887144267559,61.85309402644634,59.39820688217878,60.72162091732025,67.2778538428247,68.48076172173023,,,EXECUTE,published_after_gate_recheck,57.10287997499108,57.112236972898245,0.009356997907161713,4.7500841319561005,59.929894749075174,70.84095105528831,54.97722094878554,61.852964106947184,61.862321104854345
221,xair,1,55.0,50.0,concurrent,1,0,0,1,0,389,388,after_check,0,after_middleware,1.331067644059658,2.7346317656338215,64.12255298346281,61.38792121782899,62.79148533940315,68.55300720781088,69.85424924641848,,,EXECUTE,published_after_gate_recheck,59.02690067887306,59.056165628135204,0.02926494926214218,5.095542408525944,63.28956037759781,72.02707696706057,58.342266362160444,64.122443087399,64.15170803666115
222,xair,0,,50.0,control,1,0,0,0,0,,390,control,0,,1.1356412433087826,2.5933771394193172,61.521030962467194,58.927653823047876,60.38538971915841,,,,,EXECUTE,published_after_gate_recheck,55.702381767332554,55.7132619433105,0.010880175977945328,5.818549077957869,,,55.9235867112875,61.52093084529042,61.53181102126837
223,xair,0,,50.0,control,1,0,0,0,0,,391,control,0,,1.3288939371705055,2.5222930125892162,59.97048085555434,57.448187842965126,58.64158691838384,,,,,EXECUTE,published_after_gate_recheck,55.23965414613485,55.249882861971855,0.0102287158370018,4.730707034468651,,,54.82481513172388,59.970361180603504,59.980589896440506
