scenario,run,baseline,seed,outcome,reason,paused_committed_before_submit,gateway_released,stale_executed,correct_revoke,ros_published,ros_observed,validation_latency_ms,e2e_latency_ms,intent_age_at_submit_ms,pause_ms,freshness_ms,exported_at
e1b,72,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.9260050505399704,219.206,200,1000,2026-09-24T22:14:28.361973+00:00
e1b,73,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.573768772184849,221.184,200,1000,2026-09-24T22:14:28.644571+00:00
e1b,74,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.922717947512865,221.274,200,1000,2026-09-24T22:14:28.928591+00:00
e1b,75,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.593270968645811,225.243,200,1000,2026-09-24T22:14:29.217439+00:00
e1b,76,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.108697012066841,222.593,200,1000,2026-09-24T22:14:29.502877+00:00
e1b,77,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.5536419600248337,219.608,200,1000,2026-09-24T22:14:29.784776+00:00
e1b,78,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.24298907071352,219.403,200,1000,2026-09-24T22:14:30.066406+00:00
e1b,79,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.240615129470825,219.816,200,1000,2026-09-24T22:14:30.347090+00:00
e1b,80,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.480062820017338,220.685,200,1000,2026-09-24T22:14:30.631579+00:00
e1b,81,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.4433752298355103,220.703,200,1000,2026-09-24T22:14:30.914194+00:00
e1b,82,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.7991770766675472,218.708,200,1000,2026-09-24T22:14:31.196211+00:00
e1b,83,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.3269659616053104,221.175,200,1000,2026-09-24T22:14:31.478728+00:00
