publishing_interval_ms,version_scope,intent_kind,run,trace_time_s,gateway_released,reason,e2e_latency_ms,validation_to_gate_ms,achieved_update_rate_hz
1000,readset,discrete,112,56.07,1,published_after_gate_recheck,17.438056878745556,4.632208030670881,1.0
1000,readset,continuous,113,56.718,1,published_after_gate_recheck,18.815106712281704,4.963078070431948,1.0
1000,global,discrete,114,57.404,1,published_after_gate_recheck,24.752188939601183,7.524685934185982,1.0
1000,global,continuous,115,57.501,1,published_after_gate_recheck,19.69492482021451,4.844215232878923,1.0
1000,readset,discrete,116,58.356,1,published_after_gate_recheck,17.73650525137782,4.827002063393593,1.0
1000,global,discrete,117,58.654,1,published_after_gate_recheck,17.6050397567451,4.3768188916146755,1.0
1000,readset,discrete,118,59.142,1,published_after_gate_recheck,18.07091198861599,5.019553005695343,1.0
1000,global,continuous,119,59.917,1,published_after_gate_recheck,16.913743689656258,4.325853195041418,1.0
1000,readset,continuous,120,60.185,1,published_after_gate_recheck,18.0366481654346,4.551967140287161,1.0
1000,global,continuous,121,60.75,1,published_after_gate_recheck,22.47926127165556,5.397941917181015,1.0
1000,readset,continuous,122,61.499,1,published_after_gate_recheck,17.667577136307955,4.341733641922474,1.0
1000,readset,continuous,123,61.652,1,published_after_gate_recheck,17.184222117066383,4.581912886351347,1.0
1000,predicate,continuous,124,62.481,1,published_after_gate_recheck,17.957250121980906,4.643938969820738,1.0
1000,global,discrete,125,62.658,1,published_after_gate_recheck,22.280488163232803,5.518427584320307,1.0
1000,readset,discrete,126,63.295,1,published_after_gate_recheck,17.078523989766836,4.871936980634928,1.0
1000,predicate,discrete,127,63.527,1,published_after_gate_recheck,18.140613101422787,5.22779393941164,1.0
1000,global,discrete,128,64.489,1,published_after_gate_recheck,18.17106967791915,4.364306107163429,1.0
1000,predicate,continuous,129,64.733,1,published_after_gate_recheck,18.081702757626772,4.860906396061182,1.0
1000,predicate,continuous,130,65.248,1,published_after_gate_recheck,19.46841971948743,4.328157752752304,1.0
1000,global,continuous,131,65.982,1,published_after_gate_recheck,17.876848112791777,4.370348062366247,1.0
1000,readset,discrete,132,66.209,1,published_after_gate_recheck,17.192276194691658,4.044966772198677,1.0
1000,predicate,continuous,133,66.512,1,published_after_gate_recheck,18.219280056655407,4.407928325235844,1.0
1000,predicate,continuous,134,67.169,1,published_after_gate_recheck,16.995197162032127,4.809779580682516,1.0
1000,global,discrete,135,67.512,1,published_after_gate_recheck,19.35327472165227,4.6363649889826775,1.0
1000,predicate,continuous,136,68.019,1,published_after_gate_recheck,17.011718824505806,4.793359898030758,1.0
1000,global,discrete,137,68.937,1,published_after_gate_recheck,22.550043649971485,5.444529000669718,1.0
1000,predicate,continuous,138,69.393,1,published_after_gate_recheck,17.126032151281834,4.881886299699545,1.0
1000,readset,discrete,139,69.86,1,published_after_gate_recheck,19.81250522658229,5.052974913269281,1.0
1000,global,discrete,140,70.321,1,published_after_gate_recheck,17.243622802197933,4.1867028921842575,1.0
1000,readset,discrete,141,70.69,1,published_after_gate_recheck,17.595741897821426,4.98059019446373,1.0
1000,predicate,continuous,142,71.285,1,published_after_gate_recheck,15.936634037643671,4.230374936014414,1.0
1000,readset,continuous,143,71.65,1,published_after_gate_recheck,19.91701079532504,5.196364130824804,1.0
1000,readset,continuous,144,72.314,1,published_after_gate_recheck,16.831160057336092,4.166105296462774,1.0
1000,global,continuous,145,72.89,1,published_after_gate_recheck,17.538455314934254,4.660591017454863,1.0
1000,predicate,discrete,146,73.191,1,published_after_gate_recheck,17.23131025210023,4.739127587527037,1.0
1000,global,continuous,147,73.635,1,published_after_gate_recheck,16.787678003311157,4.4396668672561646,1.0
1000,predicate,continuous,148,74.166,1,published_after_gate_recheck,19.459153059870005,5.285861901938915,1.0
1000,readset,discrete,149,74.609,1,published_after_gate_recheck,18.526645842939615,4.739989060908556,1.0
1000,predicate,discrete,150,75.461,1,published_after_gate_recheck,21.417903248220682,5.128919146955013,1.0
1000,global,continuous,151,75.917,1,published_after_gate_recheck,17.635426949709654,4.589857999235392,1.0
1000,global,discrete,152,76.154,1,published_after_gate_recheck,17.85503886640072,4.130377899855375,1.0
1000,global,continuous,153,76.552,1,published_after_gate_recheck,17.08556665107608,4.622859880328178,1.0
1000,global,continuous,154,77.251,1,published_after_gate_recheck,17.594981007277966,4.36848308891058,1.0
1000,readset,continuous,155,77.878,1,published_after_gate_recheck,17.89312018081546,4.528424236923456,1.0
1000,predicate,continuous,156,78.145,1,published_after_gate_recheck,16.292891930788755,4.06202906742692,1.0
1000,global,continuous,157,78.88,1,published_after_gate_recheck,17.662386875599623,4.604786168783903,1.0
1000,predicate,continuous,158,79.187,1,published_after_gate_recheck,17.743668984621763,4.488647915422916,1.0
1000,predicate,continuous,159,79.599,1,published_after_gate_recheck,16.98338519781828,4.39645629376173,1.0
1000,global,continuous,160,80.404,1,published_after_gate_recheck,17.563913017511368,4.82003903016448,1.0
1000,global,continuous,161,80.859,1,published_after_gate_recheck,16.663165297359228,4.107423592358828,1.0
