run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
48,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,84,83,after_check,0,EXECUTE,atomic_actuation_committed,6.885109934955835,6.895159371197224,0.010049436241388321,5.515812896192074,6.729288958013058,16.982283908873796,5.6841690093278885,12.40092283114791,12.410972267389297
49,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,86,85,after_check,0,EXECUTE,atomic_actuation_committed,6.828113924711943,6.836329121142626,0.008215196430683136,4.889116622507572,6.034985650330782,16.760236583650112,4.981229547411203,11.717230547219515,11.725445743650198
50,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,88,87,after_check,0,EXECUTE,atomic_actuation_committed,6.840776652097702,6.848441902548075,0.007665250450372696,4.250029101967812,5.5410899221897125,15.568181872367859,4.495779983699322,11.090805754065514,11.098471004515886
51,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,90,89,after_check,0,EXECUTE,atomic_actuation_committed,6.76400400698185,6.776497233659029,0.012493226677179337,6.018263753503561,7.26913008838892,19.242610782384872,6.222196854650974,12.78226776048541,12.79476098716259
52,xair_atomic,0,,0.0,control,1,0,0,0,0,,91,control,0,EXECUTE,atomic_actuation_committed,6.922561209648848,6.935595069080591,0.013033859431743622,7.849197834730148,,,7.857903838157654,14.771759044378996,14.78479290381074
53,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,93,92,after_check,0,EXECUTE,atomic_actuation_committed,7.432777900248766,7.446813862770796,0.014035962522029877,7.070828229188919,8.312146179378033,19.39863432198763,7.260343991219997,14.503606129437685,14.517642091959715
54,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,95,94,after_check,0,EXECUTE,atomic_actuation_committed,7.558363024145365,7.5698550790548325,0.011492054909467697,5.147361196577549,6.366638001054525,17.37574115395546,5.315076094120741,12.705724220722914,12.717216275632381
55,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,97,96,after_check,0,EXECUTE,atomic_actuation_committed,7.0548588410019875,7.064576726406813,0.00971788540482521,5.122595001012087,6.274295039474964,17.097809817641973,5.215879995375872,12.177453842014074,12.1871717274189
56,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,99,98,after_check,0,EXECUTE,atomic_actuation_committed,7.045811973512173,7.057873997837305,0.01206202432513237,4.763983190059662,6.007715128362179,16.879491042345762,4.964359104633331,11.809795163571835,11.821857187896967
57,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,101,100,after_check,0,EXECUTE,atomic_actuation_committed,6.977503187954426,6.986219901591539,0.008716713637113571,4.435237031430006,5.578219890594482,16.383660957217216,4.522469826042652,11.412740219384432,11.421456933021545
