run,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
150,1,50.0,50.0,concurrent,1,0,0,1,0,EXECUTE,published_after_gate_recheck,57.41282016970217,57.425304083153605,0.012483913451433182,9.371827822178602,61.65947602130473,69.10400302149355,62.0976269710809,66.78464799188077,66.79713190533221
151,1,50.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,56.893737986683846,56.907173013314605,0.01343502663075924,6.292397854849696,68.35553096607327,75.1417048741132,59.407326858490705,63.18613584153354,63.1995708681643
152,1,50.0,50.0,concurrent,1,0,0,1,0,EXECUTE,published_after_gate_recheck,55.929761845618486,55.942274862900376,0.012513017281889915,3.2173781655728817,57.38735315389931,61.44384294748306,54.39559812657535,59.14714001119137,59.15965302847326
153,1,50.0,50.0,concurrent,0,1,0,0,0,REVOKE,context_version_changed_at_publish,61.34059885516763,,,4.715094109997153,59.919727966189384,66.72082911245525,60.25641807354987,66.05569296516478,
154,1,50.0,50.0,concurrent,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.57684816792607,,,12.143639847636223,62.47226893901825,66.37316686101258,64.2877200152725,66.7204880155623,
155,1,50.0,50.0,concurrent,0,1,0,0,0,REVOKE,context_version_changed_at_publish,55.30097405426204,,,8.840041002258658,59.134715935215354,65.05777291022241,60.031506000086665,64.1410150565207,
156,1,50.0,50.0,concurrent,0,1,0,0,0,REVOKE,context_version_changed_at_publish,57.037838036194444,,,2.6696911081671715,53.0108530074358,58.3266019821167,54.14844513870776,59.707529144361615,
157,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,57.2957310359925,57.30701214633882,0.011281110346317291,5.5213740561157465,,,56.18369812145829,62.81710509210825,62.82838620245457
158,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,57.49050620943308,57.50329000875354,0.012783799320459366,6.785862846300006,,,58.48771403543651,64.27636905573308,64.28915285505354
159,1,50.0,50.0,concurrent,0,1,0,0,0,REVOKE,context_version_changed_at_publish,58.750136056914926,,,9.199093794450164,59.69621799886227,66.52760598808527,65.69940480403602,67.94922985136509,
160,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,55.43545610271394,55.444934172555804,0.009478069841861725,8.227924816310406,,,58.32362687215209,63.66338091902435,63.67285898886621
161,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,55.65840401686728,55.66872307099402,0.010319054126739502,9.833952877670527,67.82844383269548,72.17115885578096,62.80172592960298,65.4923568945378,65.50267594866455
162,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,57.09749017842114,57.10650701075792,0.009016832336783409,6.97639980353415,67.8280929569155,75.05979179404676,58.9610708411783,64.07388998195529,64.08290681429207
163,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,54.62229298427701,54.63196104392409,0.009668059647083282,7.323069963604212,,,58.548718923702836,61.94536294788122,61.955031007528305
164,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,57.795106898993254,57.808731915429235,0.013625016435980797,7.963269017636776,66.1830110475421,73.34341597743332,59.092838084325194,65.75837591663003,65.77200093306601
165,1,55.0,50.0,concurrent,1,0,0,1,0,EXECUTE,published_after_gate_recheck,62.27285508066416,62.28381604887545,0.01096096821129322,5.82795892842114,67.36329291015863,71.68252510018647,58.45781904645264,68.1008140090853,68.11177497729659
166,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,55.96544896252453,55.97951589152217,0.014066928997635841,3.484467975795269,60.13025180436671,63.796690898016095,54.71316282637417,59.4499169383198,59.46398386731744
167,1,55.0,50.0,concurrent,1,0,0,1,0,EXECUTE,published_after_gate_recheck,57.63245210982859,57.645326014608145,0.012873904779553413,8.022289955988526,63.48686991259456,68.97475104779005,60.92786602675915,65.65474206581712,65.66761597059667
168,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,55.74260093271732,55.755676003172994,0.013075070455670357,2.061713021248579,59.97831700369716,66.74282997846603,53.12503804452717,57.8043139539659,57.81738902442157
169,1,55.0,50.0,concurrent,1,0,0,1,0,EXECUTE,published_after_gate_recheck,57.390989968553185,57.404384948313236,0.013394979760050774,8.577810134738684,63.933796947821975,67.52510508522391,59.675289085134864,65.96880010329187,65.98219508305192
170,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,53.42691298574209,53.43662085942924,0.009707873687148094,6.737892981618643,,,57.00301192700863,60.164805967360735,60.17451384104788
171,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,57.93622089549899,57.94964591041207,0.013425014913082123,3.6630630493164062,,,55.12516503222287,61.5992839448154,61.61270895972848
172,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,55.03866192884743,55.0503539852798,0.011692056432366371,2.7990639209747314,58.09735297225416,63.41257086023688,53.61157888546586,57.837725849822164,57.84941790625453
173,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,58.341020019724965,58.35546716116369,0.01444714143872261,14.937303960323334,,,65.04792510531843,73.2783239800483,73.29277112148702
174,1,55.0,50.0,concurrent,1,0,0,1,0,EXECUTE,published_after_gate_recheck,65.49962097778916,65.5144089832902,0.014788005501031876,10.847691912204027,70.31746581196785,75.12808893807232,68.29593889415264,76.34731288999319,76.36210089549422
175,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,55.346549954265356,55.36077590659261,0.014225952327251434,2.304858062416315,,,52.467345958575606,57.65140801668167,57.66563396900892
176,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,55.129973916336894,55.14324898831546,0.01327507197856903,6.023635156452656,61.41980807296932,69.60763712413609,56.49884813465178,61.15360907278955,61.16688414476812
177,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,56.5653620287776,56.58015003427863,0.014788005501031876,4.262055037543178,62.326065031811595,67.48931808397174,54.87076798453927,60.82741706632078,60.84220507182181
178,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,58.23862785473466,58.25185193680227,0.013224082067608833,4.6273791231215,63.280393136665225,71.67656300589442,55.68479304201901,62.86600697785616,62.87923105992377
179,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,55.888143833726645,55.900336941704154,0.012193107977509499,3.8380001205950975,60.20534201525152,64.41274401731789,54.30073011666536,59.72614395432174,59.73833706229925
180,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,55.4649718105793,55.47892791219056,0.0139561016112566,2.4314650800079107,,,54.080938920378685,57.89643689058721,57.91039299219847
181,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,54.49738912284374,54.50978199951351,0.012392876669764519,7.616448914632201,,,59.44124097004533,62.113838037475944,62.12623091414571
182,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,55.71129289455712,55.72403687983751,0.012743985280394554,1.8770270980894566,,,54.016096983104944,57.588319992646575,57.60106397792697
