scenario,run,baseline,seed,outcome,reason,paused_committed_before_submit,gateway_released,stale_executed,correct_revoke,ros_published,ros_observed,validation_latency_ms,e2e_latency_ms,intent_age_at_submit_ms,pause_ms,freshness_ms,exported_at
e1b,74,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.1064169704914093,217.369,200,1000,2026-09-23T07:06:46.164626+00:00
e1b,75,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.4435180239379406,209.802,200,1000,2026-09-23T07:06:46.434861+00:00
e1b,76,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.7631729133427143,210.93,200,1000,2026-09-23T07:06:46.708277+00:00
e1b,77,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.2212411276996136,226.826,200,1000,2026-09-23T07:06:46.998062+00:00
e1b,78,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.5384219586849213,222.707,200,1000,2026-09-23T07:06:47.294274+00:00
e1b,79,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.508753841742873,217.075,200,1000,2026-09-23T07:06:47.596796+00:00
e1b,80,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.9302258733659983,221.022,200,1000,2026-09-23T07:06:47.877653+00:00
e1b,81,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.5135649591684341,211.876,200,1000,2026-09-23T07:06:48.154104+00:00
e1b,82,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.2822819408029318,209.595,200,1000,2026-09-23T07:06:48.423154+00:00
e1b,83,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.9431111868470907,214.017,200,1000,2026-09-23T07:06:48.699267+00:00
e1b,84,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,4.696608986705542,219.366,200,1000,2026-09-23T07:06:48.980482+00:00
e1b,85,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.730761956423521,216.418,200,1000,2026-09-23T07:06:49.260396+00:00
e1b,86,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.3580748345702887,219.889,200,1000,2026-09-23T07:06:49.543278+00:00
e1b,87,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.6039651818573475,218.676,200,1000,2026-09-23T07:06:49.829272+00:00
e1b,88,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,4.071336938068271,246.808,200,1000,2026-09-23T07:06:50.132810+00:00
e1b,89,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,4.250883823260665,222.635,200,1000,2026-09-23T07:06:50.436272+00:00
