run,baseline,valid_intent,outcome,reason,gateway_released,wrongful_revoke,e2e_latency_ms
58,xair,1,EXECUTE,published_after_gate_recheck,1,0,9.21508390456438
59,xair,1,EXECUTE,published_after_gate_recheck,1,0,13.290544040501118
60,xair,1,EXECUTE,published_after_gate_recheck,1,0,10.439448989927769
61,xair,1,EXECUTE,published_after_gate_recheck,1,0,9.212919976562262
62,xair,1,EXECUTE,published_after_gate_recheck,1,0,22.736090002581477
63,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.553281012922525
64,xair,1,EXECUTE,published_after_gate_recheck,1,0,22.349294973537326
65,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.133624965324998
66,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.97314716875553
67,xair,1,EXECUTE,published_after_gate_recheck,1,0,6.379117956385016
68,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.704433968290687
69,xair,1,EXECUTE,published_after_gate_recheck,1,0,11.173004982993007
70,xair,1,EXECUTE,published_after_gate_recheck,1,0,12.730422895401716
71,xair,1,EXECUTE,published_after_gate_recheck,1,0,9.49628185480833
72,xair,1,EXECUTE,published_after_gate_recheck,1,0,26.222385931760073
73,xair,1,EXECUTE,published_after_gate_recheck,1,0,38.828646996989846
74,xair,1,EXECUTE,published_after_gate_recheck,1,0,19.864717964082956
75,xair,1,EXECUTE,published_after_gate_recheck,1,0,12.535257963463664
76,xair,1,EXECUTE,published_after_gate_recheck,1,0,5.779053084552288
77,xair,1,EXECUTE,published_after_gate_recheck,1,0,7.015571231022477
78,xair,1,EXECUTE,published_after_gate_recheck,1,0,7.789482129737735
79,xair,1,EXECUTE,published_after_gate_recheck,1,0,8.156540105119348
80,xair,1,EXECUTE,published_after_gate_recheck,1,0,24.50238191522658
81,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.680598862469196
82,xair,1,EXECUTE,published_after_gate_recheck,1,0,11.550300987437367
83,xair,1,EXECUTE,published_after_gate_recheck,1,0,5.425911163911223
84,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.73323188535869
85,xair,1,EXECUTE,published_after_gate_recheck,1,0,9.212078992277384
86,xair,1,EXECUTE,published_after_gate_recheck,1,0,8.763356832787395
87,xair,1,EXECUTE,published_after_gate_recheck,1,0,9.562063962221146
88,xair,1,EXECUTE,published_after_gate_recheck,1,0,9.514966048300266
89,xair,1,EXECUTE,published_after_gate_recheck,1,0,26.093814987689257
90,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.895381035283208
91,xair,1,EXECUTE,published_after_gate_recheck,1,0,19.442677032202482
92,xair,1,EXECUTE,published_after_gate_recheck,1,0,13.245579786598682
93,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.185114927589893
94,xair,1,EXECUTE,published_after_gate_recheck,1,0,13.903732877224684
95,xair,1,EXECUTE,published_after_gate_recheck,1,0,9.280788013711572
96,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.139228897169232
97,xair,1,EXECUTE,published_after_gate_recheck,1,0,6.123800063505769
98,xair,1,EXECUTE,published_after_gate_recheck,1,0,5.962427007034421
99,xair,1,EXECUTE,published_after_gate_recheck,1,0,7.598694879561663
