baseline,run,outcome,reason,gateway_released,stale_executed,ros_published,ros_observed,ros_witness_agrees,arm_delta,sim_motion,motion_witness_agrees,error,intent_age_at_submit_ms,campaign
direct,4,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.311,1,1,,206.5,2
direct,5,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3153,1,1,,227.6,2
direct,6,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.0,0,0,,227.0,2
direct,7,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3028,1,1,,207.2,2
direct,8,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3102,1,1,,206.0,2
direct,9,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3052,1,1,,206.2,2
direct,10,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3029,1,1,,205.6,2
direct,11,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.319,1,1,,226.0,2
direct,12,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3122,1,1,,206.1,2
direct,13,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3105,1,1,,206.5,2
direct,14,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3125,1,1,,206.8,2
direct,15,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3144,1,1,,205.1,2
direct,16,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3223,1,1,,207.3,2
direct,17,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3127,1,1,,207.0,2
direct,18,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3086,1,1,,205.2,2
direct,19,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3101,1,1,,206.2,2
direct,20,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3165,1,1,,206.5,2
direct,21,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3166,1,1,,207.0,2
direct,22,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3131,1,1,,225.5,2
direct,23,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3165,1,1,,204.7,2
direct,24,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3031,1,1,,204.7,2
direct,25,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3236,1,1,,227.0,2
direct,26,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3141,1,1,,205.2,2
direct,27,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3154,1,1,,207.0,2
direct,28,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3071,1,1,,205.7,2
direct,29,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.312,1,1,,206.5,2
naive,0,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3082,1,1,,205.2,2
naive,1,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3208,1,1,,247.2,2
naive,2,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3225,1,1,,205.5,2
naive,3,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3197,1,1,,206.0,2
naive,4,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3162,1,1,,205.4,2
naive,5,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3227,1,1,,207.7,2
naive,6,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3075,1,1,,205.5,2
naive,7,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3208,1,1,,205.8,2
naive,8,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3199,1,1,,205.5,2
naive,9,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3157,1,1,,204.9,2
naive,10,EXECUTE,naive_temporal_only,1,1,1,1,1,0.0,0,0,,205.9,2
naive,11,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3184,1,1,,207.1,2
naive,12,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3163,1,1,,207.9,2
naive,13,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3044,1,1,,246.0,2
naive,14,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3174,1,1,,205.3,2
naive,15,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3044,1,1,,205.4,2
naive,16,EXECUTE,naive_temporal_only,1,1,1,1,1,0.31,1,1,,225.7,2
naive,17,EXECUTE,naive_temporal_only,1,1,1,1,1,0.32,1,1,,205.4,2
naive,18,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3179,1,1,,206.8,2
naive,19,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3185,1,1,,206.7,2
naive,20,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3172,1,1,,205.3,2
naive,21,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3086,1,1,,207.8,2
naive,22,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3051,1,1,,226.0,2
naive,23,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3181,1,1,,205.6,2
naive,24,EXECUTE,naive_temporal_only,1,1,1,1,1,0.303,1,1,,205.2,2
naive,25,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3241,1,1,,204.7,2
naive,26,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3031,1,1,,207.4,2
naive,27,EXECUTE,naive_temporal_only,1,1,1,1,1,0.307,1,1,,205.8,2
naive,28,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3241,1,1,,205.6,2
naive,29,EXECUTE,naive_temporal_only,1,1,1,1,1,0.0,0,0,,206.0,2
local,0,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.025,0,1,,206.4,2
local,1,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0075,0,1,,206.9,2
local,2,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0068,0,1,,206.7,2
local,3,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0061,0,1,,228.5,2
local,4,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0072,0,1,,206.9,2
local,5,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0066,0,1,,207.4,2
local,6,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0059,0,1,,207.0,2
local,7,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0056,0,1,,207.6,2
local,8,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0053,0,1,,205.6,2
local,9,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0051,0,1,,207.3,2
local,10,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0048,0,1,,206.8,2
local,11,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0045,0,1,,208.5,2
local,12,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0042,0,1,,208.7,2
local,13,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0039,0,1,,209.5,2
local,14,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0037,0,1,,205.8,2
local,15,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0043,0,1,,206.2,2
local,16,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0046,0,1,,210.0,2
local,17,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.004,0,1,,229.4,2
local,18,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0035,0,1,,206.9,2
local,19,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0032,0,1,,206.2,2
local,20,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.003,0,1,,207.2,2
local,21,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0027,0,1,,207.7,2
local,22,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0024,0,1,,208.8,2
local,23,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0022,0,1,,207.0,2
local,24,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0019,0,1,,209.1,2
local,25,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0013,0,1,,227.0,2
local,26,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0023,0,1,,206.3,2
local,27,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.002,0,1,,207.9,2
local,28,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0016,0,1,,209.6,2
local,29,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0014,0,1,,206.6,2
