run,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
19,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,62.931098975241184,,,6.74277194775641,7.878789911046624,14.73600696772337,64.70311805605888,69.6738709229976,
20,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,64.24487009644508,,,5.578821990638971,8.590163895860314,14.18923307210207,59.94830094277859,69.82369208708405,
21,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,53.69435390457511,53.70689695701003,0.012543052434921265,2.312652999535203,,,52.749694092199206,56.00700690411031,56.019549956545234
22,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,54.3708810582757,54.3846869841218,0.013805925846099854,2.240166999399662,,,52.37193685024977,56.61104805767536,56.62485398352146
23,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.477557841688395,,,12.331813108175993,12.570129940286279,19.893991062417626,62.959522008895874,65.80937094986439,
24,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,60.647389851510525,,,3.697497071698308,3.8629069458693266,6.441456964239478,54.46538794785738,64.34488692320883,
25,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.5457159858197,,,1.995648955926299,2.112216781824827,4.170613829046488,52.49970592558384,55.541364941746,
26,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,62.62146797962487,62.63500405475497,0.013536075130105019,4.803680116310716,,,54.978600004687905,67.42514809593558,67.43868417106569
27,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,52.43524513207376,52.4458650033921,0.010619871318340302,16.92705205641687,,,67.02300510369241,69.36229718849063,69.37291705980897
28,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.09817001782358,,,7.300767814740539,7.717137923464179,14.209831831976771,58.60971286892891,61.398937832564116,
29,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,58.546283980831504,,,5.149737931787968,5.35330013372004,9.444785071536899,55.692367954179645,63.69602191261947,
30,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,55.924311047419906,55.934681091457605,0.0103700440376997,2.8062378987669945,,,52.97762202098966,58.7305489461869,58.7409189902246
31,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,58.6836920119822,,,11.670965002849698,12.738134013488889,20.30340814962983,63.40040802024305,70.3546570148319,
32,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.253237856552005,,,4.065386019647121,4.289856879040599,9.039685828611255,54.7634968534112,57.318623876199126,
33,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.34105498716235,,,4.088931018486619,4.2628159280866385,6.6064270213246346,54.752656957134604,58.42998600564897,
34,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,65.22025796584785,,,10.262977099046111,10.702691040933132,14.220962999388576,65.57007296942174,75.48323506489396,
