run,seed,baseline,pause_ms,predicate_count,predicates_evaluated,source,drifted,expected_release,gateway_released,outcome,reason,correct,stale_executed,wrongful_revoke,validation_latency_ms
75,42,xair,58.68,8,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.023294007405638695
76,42,xair,325.58,2,2,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.036588869988918304
77,42,xair,127.85,16,16,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.1206560991704464
78,42,xair,354.96,4,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03540585748851299
79,42,xair,147.51,2,2,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.03854208625853062
80,42,xair,189.89,32,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03452482633292675
81,42,xair,389.64,4,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.036729034036397934
82,42,xair,258.8,8,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03623799420893192
83,42,xair,394.48,2,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03827200271189213
84,42,xair,65.54,16,16,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.1037640031427145
85,42,xair,238.46,4,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03866199404001236
86,42,xair,282.48,8,8,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.07364805787801743
87,42,xair,93.62,8,8,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.06870902143418789
88,42,xair,164.16,8,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.04535517655313015
89,42,xair,282.73,16,16,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.1202351413667202
90,42,xair,155.33,32,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.041106948629021645
91,42,xair,200.46,32,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03793113864958286
92,42,xair,204.76,4,4,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.06493204273283482
93,42,xair,385.94,4,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.02990616485476494
94,42,xair,282.35,32,32,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.2027200534939766
95,42,xair,312.9,8,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03802101127803326
96,42,xair,66.17,16,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.04715798422694206
97,42,xair,360.15,32,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.043801963329315186
98,42,xair,135.39,2,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.04306086339056492
99,42,xair,331.44,32,32,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.15355809591710567
