scenario,baseline,run,outcome,reason,gateway_released,stale_executed
RESUME,xair,78,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,79,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,80,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,81,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,82,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,83,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,84,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,85,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,86,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,87,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,88,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,89,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,90,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,91,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,92,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,93,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,94,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,95,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,96,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,97,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,98,REVOKE,precondition_failed: line.state == 'RUN',0,0
RESUME,xair,99,REVOKE,precondition_failed: line.state == 'RUN',0,0
STOP,direct,0,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,1,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,2,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,3,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,4,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,5,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,6,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,7,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,8,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,9,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,10,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,11,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,12,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,13,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,14,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,15,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,16,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,17,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,18,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,19,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,20,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,21,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,22,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,23,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,24,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,25,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,26,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,27,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,28,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,29,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,30,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,31,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,32,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,33,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,34,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,35,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,36,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,37,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,38,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,39,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,40,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,41,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,42,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,43,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,44,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,45,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,46,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,47,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,48,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,49,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,50,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,51,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,52,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,53,EXECUTE,direct_bypass_no_validation,1,1
