policy,delay_ms,push_notified,run,outcome,reason,gateway_released,stale_executed
xair,50,,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_stale,100,,0,EXECUTE,local_stale_guard_passed,1,1
local_stale,100,,1,EXECUTE,local_stale_guard_passed,1,1
local_stale,100,,2,EXECUTE,local_stale_guard_passed,1,1
local_stale,100,,3,EXECUTE,local_stale_guard_passed,1,1
local_stale,100,,4,EXECUTE,local_stale_guard_passed,1,1
local_stale,100,,5,EXECUTE,local_stale_guard_passed,1,1
local_stale,100,,6,EXECUTE,local_stale_guard_passed,1,1
local_stale,100,,7,EXECUTE,local_stale_guard_passed,1,1
local_stale,100,,8,EXECUTE,local_stale_guard_passed,1,1
local_stale,100,,9,EXECUTE,local_stale_guard_passed,1,1
local_push,100,1,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,100,1,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,100,1,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,100,1,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,100,1,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,100,1,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,100,1,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,100,1,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,100,1,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,100,1,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,100,,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,100,,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,100,,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,100,,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,100,,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,100,,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,100,,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,100,,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,100,,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,100,,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_stale,250,,0,EXECUTE,local_stale_guard_passed,1,1
local_stale,250,,1,EXECUTE,local_stale_guard_passed,1,1
local_stale,250,,2,EXECUTE,local_stale_guard_passed,1,1
local_stale,250,,3,EXECUTE,local_stale_guard_passed,1,1
local_stale,250,,4,EXECUTE,local_stale_guard_passed,1,1
local_stale,250,,5,EXECUTE,local_stale_guard_passed,1,1
local_stale,250,,6,EXECUTE,local_stale_guard_passed,1,1
local_stale,250,,7,EXECUTE,local_stale_guard_passed,1,1
local_stale,250,,8,EXECUTE,local_stale_guard_passed,1,1
local_stale,250,,9,EXECUTE,local_stale_guard_passed,1,1
local_push,250,1,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,250,1,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,250,1,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,250,1,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
