run,seed,baseline,pause_ms,predicate_count,predicates_evaluated,source,drifted,expected_release,gateway_released,outcome,reason,correct,stale_executed,wrongful_revoke,validation_latency_ms
23,7,xair,359.18,16,16,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.1562228426337242
24,7,xair,395.26,16,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.07768603973090649
25,7,xair,102.95,4,4,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.08439808152616024
26,7,xair,113.82,8,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.025006942451000214
27,7,xair,179.24,32,32,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.08706399239599705
28,7,xair,230.42,32,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.023914966732263565
29,7,xair,354.84,32,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03158906474709511
30,7,xair,86.24,16,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.025888904929161072
31,7,xair,123.07,4,4,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.035025179386138916
32,7,xair,85.83,32,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.026609981432557106
33,7,xair,177.26,2,2,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.054412055760622025
34,7,xair,101.99,8,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.06131501868367195
35,7,xair,92.99,16,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03802101127803326
36,7,xair,80.06,2,2,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.03936421126127243
37,7,xair,217.52,4,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.026830006390810013
38,7,xair,383.21,8,8,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.06682495586574078
39,7,xair,315.35,8,8,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.07652398198843002
40,7,xair,141.39,8,8,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.0638898927718401
41,7,xair,236.41,32,32,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.08850591257214546
42,7,xair,325.94,4,4,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.056516146287322044
43,7,xair,129.36,32,32,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.11040689423680305
44,7,xair,396.36,8,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.024626031517982483
45,7,xair,261.8,8,8,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.047408975660800934
46,7,xair,177.62,4,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.052108196541666985
47,7,xair,168.21,16,16,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.07770583033561707
48,7,xair,217.82,8,8,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.06388011388480663
49,7,xair,91.97,16,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.07619312964379787
50,7,xair,112.48,8,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.07578195072710514
51,7,xair,310.17,2,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.05469284951686859
52,7,xair,94.46,4,4,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.05714804865419865
53,7,xair,101.16,32,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.0687791034579277
54,7,xair,241.9,2,2,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.06976979784667492
55,7,xair,376.77,16,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.06633508019149303
56,7,xair,124.47,32,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.07895799353718758
57,7,xair,240.52,4,4,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.06735604256391525
58,7,xair,281.87,32,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.051036011427640915
59,7,xair,103.14,32,32,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.1421668566763401
60,7,xair,262.99,4,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.029696151614189148
61,7,xair,303.82,32,32,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.11722906492650509
62,7,xair,235.75,16,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.021720072254538536
63,7,xair,116.96,2,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.06671505980193615
64,7,xair,59.75,2,2,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.053650932386517525
65,7,xair,226.94,32,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.07637287490069866
66,7,xair,236.65,16,16,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.1033339649438858
67,7,xair,356.79,8,8,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.0865019392222166
68,7,xair,98.0,2,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.029776012524962425
69,7,xair,284.9,16,16,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.09251316078007221
70,7,xair,324.38,4,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.05078501999378204
71,7,xair,358.99,16,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.05169701762497425
72,7,xair,220.54,4,4,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.06208685226738453
73,7,xair,191.33,16,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.0445730984210968
74,7,xair,302.75,2,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.056685879826545715
75,7,xair,296.1,16,16,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.10282197035849094
76,7,xair,229.29,2,2,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.052247894927859306
77,7,xair,86.67,8,8,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.07155397906899452
78,7,xair,113.54,4,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.034054042771458626
79,7,xair,237.81,32,32,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.13515283353626728
80,7,xair,81.31,2,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.06741704419255257
81,7,xair,75.34,2,2,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.020458130165934563
82,7,xair,79.31,4,4,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.05242787301540375
83,7,xair,208.82,8,8,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.08004996925592422
84,7,xair,143.75,4,4,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.04900200292468071
85,7,xair,378.34,4,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.02977508120238781
86,7,xair,376.29,8,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.0246360432356596
87,7,xair,225.03,4,4,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.050625065341591835
88,7,xair,398.07,2,2,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.03002607263624668
89,7,xair,242.87,4,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.025007175281643867
90,7,xair,206.47,16,16,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.06035389378666878
91,7,xair,361.05,32,32,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.13425108045339584
92,7,xair,169.95,4,4,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.04540500231087208
93,7,xair,342.95,2,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.02994714304804802
94,7,xair,69.39,16,16,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.09812391363084316
95,7,xair,292.44,2,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.04533492028713226
96,7,xair,206.04,8,8,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.06243702955543995
97,7,xair,241.48,4,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.032871030271053314
98,7,xair,114.04,8,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.04295096732676029
99,7,xair,225.97,4,4,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.04105689004063606
