run,baseline,pause_ms,predicate_count,source,drifted,expected,outcome,correct,stale_executed,validation_latency_ms
41,xair,236.41,32,xr,0,EXECUTE,EXECUTE,1,0,0.17736293375492096
42,xair,325.94,4,ai,0,EXECUTE,EXECUTE,1,0,0.09158207103610039
43,xair,129.36,32,xr,0,EXECUTE,EXECUTE,1,0,0.21119602024555206
44,xair,396.36,8,xr,1,REVOKE,REVOKE,1,0,0.06196601316332817
45,xair,261.8,8,xr,0,EXECUTE,EXECUTE,1,0,0.08580100256949663
46,xair,177.62,4,ai,1,REVOKE,REVOKE,1,0,0.054612988606095314
47,xair,168.21,16,mes,0,EXECUTE,EXECUTE,1,0,0.13105501420795918
48,xair,217.82,8,mes,0,EXECUTE,EXECUTE,1,0,0.09190093260258436
49,xair,91.97,16,mes,1,REVOKE,REVOKE,1,0,0.05520298145711422
50,xair,112.48,8,ai,1,REVOKE,REVOKE,1,0,0.04654703661799431
51,xair,310.17,2,mes,1,REVOKE,REVOKE,1,0,0.04686799366027117
52,xair,94.46,4,mes,0,EXECUTE,EXECUTE,1,0,0.08952792268246412
53,xair,101.16,32,xr,1,REVOKE,REVOKE,1,0,0.0553840072825551
54,xair,241.9,2,ai,0,EXECUTE,EXECUTE,1,0,0.056796008720993996
55,xair,376.77,16,ai,1,REVOKE,REVOKE,1,0,0.042930012568831444
56,xair,124.47,32,ai,1,REVOKE,REVOKE,1,0,0.04823098424822092
57,xair,240.52,4,ai,0,EXECUTE,EXECUTE,1,0,0.06690504960715771
58,xair,281.87,32,xr,1,REVOKE,REVOKE,1,0,0.044643995352089405
59,xair,103.14,32,ai,0,EXECUTE,EXECUTE,1,0,0.23501901887357235
60,xair,262.99,4,ai,1,REVOKE,REVOKE,1,0,0.04844099748879671
61,xair,303.82,32,ai,0,EXECUTE,EXECUTE,1,0,0.17440703231841326
62,xair,235.75,16,ai,1,REVOKE,REVOKE,1,0,0.049422960728406906
63,xair,116.96,2,ai,1,REVOKE,REVOKE,1,0,0.0602230429649353
64,xair,59.75,2,xr,0,EXECUTE,EXECUTE,1,0,0.04853098653256893
65,xair,226.94,32,ai,1,REVOKE,REVOKE,1,0,0.04296994302421808
66,xair,236.65,16,mes,0,EXECUTE,EXECUTE,1,0,0.09793299250304699
67,xair,356.79,8,mes,0,EXECUTE,EXECUTE,1,0,0.10769197251647711
68,xair,98.0,2,xr,1,REVOKE,REVOKE,1,0,0.05122600123286247
69,xair,284.9,16,ai,0,EXECUTE,EXECUTE,1,0,0.13375096023082733
70,xair,324.38,4,mes,1,REVOKE,REVOKE,1,0,0.049924012273550034
71,xair,358.99,16,ai,1,REVOKE,REVOKE,1,0,0.045816064812242985
72,xair,220.54,4,ai,0,EXECUTE,EXECUTE,1,0,0.08485896978527308
73,xair,191.33,16,ai,1,REVOKE,REVOKE,1,0,0.05220796447247267
74,xair,302.75,2,xr,1,REVOKE,REVOKE,1,0,0.04361197352409363
75,xair,296.1,16,xr,0,EXECUTE,EXECUTE,1,0,0.13128702994436026
76,xair,229.29,2,ai,0,EXECUTE,EXECUTE,1,0,0.07825600914657116
77,xair,86.67,8,xr,0,EXECUTE,EXECUTE,1,0,0.09723205585032701
78,xair,113.54,4,xr,1,REVOKE,REVOKE,1,0,0.0638799974694848
79,xair,237.81,32,mes,0,EXECUTE,EXECUTE,1,0,0.1642480492591858
80,xair,81.31,2,mes,1,REVOKE,REVOKE,1,0,0.050524016842246056
81,xair,75.34,2,mes,0,EXECUTE,EXECUTE,1,0,0.07162394467741251
82,xair,79.31,4,ai,0,EXECUTE,EXECUTE,1,0,0.061545055359601974
83,xair,208.82,8,mes,0,EXECUTE,EXECUTE,1,0,0.07191498298197985
84,xair,143.75,4,ai,0,EXECUTE,EXECUTE,1,0,0.07751502562314272
85,xair,378.34,4,xr,1,REVOKE,REVOKE,1,0,0.044422922655940056
86,xair,376.29,8,mes,1,REVOKE,REVOKE,1,0,0.04284095484763384
87,xair,225.03,4,xr,0,EXECUTE,EXECUTE,1,0,0.07419905159622431
88,xair,398.07,2,ai,0,EXECUTE,EXECUTE,1,0,0.06144598592072725
89,xair,242.87,4,mes,1,REVOKE,REVOKE,1,0,0.044572982005774975
90,xair,206.47,16,mes,0,EXECUTE,EXECUTE,1,0,0.10308297351002693
91,xair,361.05,32,xr,0,EXECUTE,EXECUTE,1,0,0.2645859494805336
92,xair,169.95,4,xr,0,EXECUTE,EXECUTE,1,0,0.10822305921465158
93,xair,342.95,2,ai,1,REVOKE,REVOKE,1,0,0.04189799074083567
94,xair,69.39,16,mes,0,EXECUTE,EXECUTE,1,0,0.10572804603725672
95,xair,292.44,2,xr,1,REVOKE,REVOKE,1,0,0.06086507346481085
96,xair,206.04,8,xr,0,EXECUTE,EXECUTE,1,0,0.07664400618523359
97,xair,241.48,4,ai,1,REVOKE,REVOKE,1,0,0.07532094605267048
98,xair,114.04,8,xr,1,REVOKE,REVOKE,1,0,0.038443016819655895
99,xair,225.97,4,ai,0,EXECUTE,EXECUTE,1,0,0.07271603681147099
