run,inject,inject_offset_ms,publish_delay_ms,timing_valid,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_end_ms,toctou_blocked,authorized_publish,stale_publish,outcome,reason
63,1,40.0,50.0,1,52.873215987347066,,,2.2082780487835407,42.45678510051221,46.71234008856118,55.08149403613061,1,0,0,REVOKE,context_version_changed_at_publish
64,1,40.0,50.0,1,52.882574032992125,,,3.2035739859566092,43.62266103271395,47.71354701370001,56.086148018948734,1,0,0,REVOKE,context_version_changed_at_publish
65,1,40.0,50.0,1,52.9475660296157,,,3.3928679767996073,43.75037900172174,49.265275010839105,56.34043400641531,1,0,0,REVOKE,context_version_changed_at_publish
66,1,40.0,50.0,1,52.790040033869445,,,2.46169394813478,42.74963494390249,46.68827599380165,55.251733982004225,1,0,0,REVOKE,context_version_changed_at_publish
67,1,40.0,50.0,1,52.58961394429207,,,3.3655170118436217,43.650913052260876,47.92580404318869,55.95513095613569,1,0,0,REVOKE,context_version_changed_at_publish
68,1,40.0,50.0,1,52.6821679668501,,,2.29082303121686,42.56573901511729,46.28981905989349,54.97299099806696,1,0,0,REVOKE,context_version_changed_at_publish
69,1,40.0,50.0,1,52.36722808331251,,,2.2801730083301663,42.56261407863349,47.1944430610165,54.64740109164268,1,0,0,REVOKE,context_version_changed_at_publish
70,1,40.0,50.0,1,52.58025706280023,,,2.6893889298662543,43.1106899632141,47.14886797592044,55.26964599266648,1,0,0,REVOKE,context_version_changed_at_publish
71,1,40.0,50.0,1,53.56338992714882,,,2.8773120138794184,43.18326700013131,48.26441896148026,56.44070194102824,1,0,0,REVOKE,context_version_changed_at_publish
72,1,40.0,50.0,1,52.12878994643688,,,2.841967041604221,43.116682092659175,46.44648206885904,54.9707569880411,1,0,0,REVOKE,context_version_changed_at_publish
73,1,40.0,50.0,1,52.940781926736236,,,3.1488609965890646,43.515508994460106,47.74042603094131,56.0896429233253,1,0,0,REVOKE,context_version_changed_at_publish
74,0,0,50.0,,52.740426966920495,52.9700469924137,0.2296200254932046,2.727682003751397,,,55.46810897067189,0,1,0,EXECUTE,published_after_gate_recheck
75,1,40.0,50.0,1,52.70177510101348,,,1.8693029414862394,42.17284393962473,46.2789690354839,54.57107804249972,1,0,0,REVOKE,context_version_changed_at_publish
76,1,40.0,50.0,1,52.83971200697124,,,2.834382001310587,43.210036936216056,47.28504398372024,55.67409400828183,1,0,0,REVOKE,context_version_changed_at_publish
77,1,40.0,50.0,1,53.010192001238465,,,2.4980719899758697,42.7287460770458,47.12638701312244,55.508263991214335,1,0,0,REVOKE,context_version_changed_at_publish
78,0,0,50.0,,52.85126494709402,53.11378696933389,0.2625220222398639,2.2894900757819414,,,55.140755022875965,0,1,0,EXECUTE,published_after_gate_recheck
79,1,40.0,50.0,1,53.395212977193296,,,2.3143580183386803,42.62851702515036,47.13129601441324,55.709570995531976,1,0,0,REVOKE,context_version_changed_at_publish
80,0,0,50.0,,53.33050200715661,53.625985980033875,0.295483972877264,3.400063025765121,,,56.73056503292173,0,1,0,EXECUTE,published_after_gate_recheck
81,1,50.0,50.0,0,56.18454108480364,56.4317440148443,0.24720293004065752,3.3763479441404343,54.10960305016488,62.884969054721296,59.560889028944075,0,1,1,EXECUTE,published_after_gate_recheck
82,1,50.0,50.0,0,54.31335500907153,54.56755997147411,0.25420496240258217,2.919282065704465,53.270402015186846,59.17738098651171,57.232637074775994,0,1,1,EXECUTE,published_after_gate_recheck
83,1,50.0,50.0,0,54.5294500188902,54.7826939728111,0.2532439539209008,2.153906971216202,52.36096598673612,57.61605501174927,56.683356990106404,0,1,1,EXECUTE,published_after_gate_recheck
84,1,50.0,50.0,0,55.56985002476722,55.91931496746838,0.3494649427011609,2.9353300342336297,53.27033996582031,59.47662005200982,58.50518005900085,0,1,1,EXECUTE,published_after_gate_recheck
85,0,0,50.0,,53.55816998053342,53.87385201174766,0.3156820312142372,2.957190969027579,,,56.515360949561,0,1,0,EXECUTE,published_after_gate_recheck
86,1,50.0,50.0,0,55.067347013391554,55.4055409738794,0.33819396048784256,2.5354709941893816,52.78537992853671,59.262729017063975,57.602818007580936,0,1,1,EXECUTE,published_after_gate_recheck
87,1,50.0,50.0,0,54.972118930891156,55.28723995666951,0.3151210257783532,1.9971330184489489,52.54321696702391,57.681826991029084,56.969251949340105,0,1,1,EXECUTE,published_after_gate_recheck
88,1,50.0,50.0,0,54.51631499454379,54.804355022497475,0.28804002795368433,2.0726450020447373,52.3209209786728,57.31623200699687,56.58895999658853,0,1,1,EXECUTE,published_after_gate_recheck
