run,inject,inject_offset_ms,publish_delay_ms,timing_valid,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_end_ms,toctou_blocked,authorized_publish,stale_publish,outcome,reason
37,1,0,50.0,1,54.15205692406744,,,2.60816200170666,2.8438540175557137,5.842839018441737,56.7602189257741,1,0,0,REVOKE,context_version_changed_at_publish
38,1,0,50.0,1,53.568613016977906,,,2.177322981879115,2.3667480563744903,4.812236060388386,55.74593599885702,1,0,0,REVOKE,context_version_changed_at_publish
39,1,0,50.0,1,53.834360907785594,,,2.068901085294783,2.291108015924692,5.195414065383375,55.90326199308038,1,0,0,REVOKE,context_version_changed_at_publish
40,1,1,50.0,1,53.87477797921747,,,2.3582830326631665,3.7685580318793654,6.357485079206526,56.233061011880636,1,0,0,REVOKE,context_version_changed_at_publish
41,1,1,50.0,1,52.988826064392924,,,2.082945895381272,3.307322971522808,6.202313001267612,55.071771959774196,1,0,0,REVOKE,context_version_changed_at_publish
42,1,1,50.0,1,53.22153097949922,,,2.7045030146837234,3.9752149023115635,6.222911993972957,55.926033994182944,1,0,0,REVOKE,context_version_changed_at_publish
43,1,1,50.0,1,53.49031602963805,,,2.516741049475968,3.8096850039437413,6.659380975179374,56.00705707911402,1,0,0,REVOKE,context_version_changed_at_publish
44,0,0,50.0,,53.68963989894837,53.991446970030665,0.301807071082294,2.261531073600054,,,55.951170972548425,0,1,0,EXECUTE,published_after_gate_recheck
45,1,1,50.0,1,53.3097879961133,,,2.5851079262793064,3.8073209580034018,6.801957963034511,55.89489592239261,1,0,0,REVOKE,context_version_changed_at_publish
46,1,1,50.0,1,53.60307893715799,,,3.1954830046743155,4.495922941714525,6.909389980137348,56.798561941832304,1,0,0,REVOKE,context_version_changed_at_publish
47,1,1,50.0,1,53.0239810468629,,,2.5116309989243746,3.7783870939165354,5.9708080952987075,55.535612045787275,1,0,0,REVOKE,context_version_changed_at_publish
48,1,1,50.0,1,53.69241593871266,,,3.2626891043037176,4.616358084604144,7.824445026926696,56.955105043016374,1,0,0,REVOKE,context_version_changed_at_publish
