scenario,run,baseline,seed,outcome,ros_published,ros_observed,stale_executed,stale_observed,witness_agreement,obsolete_intent,correct_revoke,validation_latency_ms,e2e_latency_ms,pause_ms,freshness_ms
e1b,93,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.111489069648087,400,500
e1b,94,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.5482919989153743,400,500
e1b,95,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.872865996323526,400,500
e1b,96,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7062289407476783,400,500
e1b,97,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.0703721093013883,400,500
e1b,98,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.886997022666037,400,500
e1b,99,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.2489259717985988,400,500
e1b,0,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7677040304988623,400,500
e1b,1,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.4928190503269434,400,500
e1b,2,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6380411107093096,400,500
e1b,3,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9544539973139763,400,500
e1b,4,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.1582270273938775,400,500
e1b,5,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.596543937921524,400,500
e1b,6,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.615938963368535,400,500
e1b,7,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9954810850322247,400,500
e1b,8,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.1695569157600403,400,500
e1b,9,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.0652629900723696,400,500
e1b,10,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.3718959419056773,400,500
e1b,11,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7329599941149354,400,500
e1b,12,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.923074945807457,400,500
e1b,13,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6026649391278625,400,500
e1b,14,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.140602911822498,400,500
e1b,15,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6079350607469678,400,500
e1b,16,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8166170921176672,400,500
e1b,17,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8592149717733264,400,500
e1b,18,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8491160590201616,400,500
e1b,19,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.4530429616570473,400,500
e1b,20,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9129669526591897,400,500
e1b,21,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7532279016450047,400,500
e1b,22,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.0453949691727757,400,500
e1b,23,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9231559708714485,400,500
e1b,24,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8460609717294574,400,500
e1b,25,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8755759811028838,400,500
e1b,26,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8293500179424882,400,500
e1b,27,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.5136279398575425,400,500
e1b,28,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8840020056813955,400,500
e1b,29,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.674309023655951,400,500
e1b,30,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.812378061003983,400,500
e1b,31,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6684290021657944,400,500
e1b,32,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.2078700130805373,400,500
e1b,33,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.5433740336447954,400,500
e1b,34,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.5671580331400037,400,500
e1b,35,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7812190344557166,400,500
e1b,36,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.977527979761362,400,500
e1b,37,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7208270728588104,400,500
e1b,38,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.003885922022164,400,500
e1b,39,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.4613399980589747,400,500
e1b,40,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.007103990763426,400,500
e1b,41,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.03390303067863,400,500
e1b,42,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9889279501512647,400,500
e1b,43,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.296696067787707,400,500
e1b,44,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.3175950627774,400,500
e1b,45,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8832699861377478,400,500
e1b,46,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9798920257017016,400,500
e1b,47,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.2832610411569476,400,500
e1b,48,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7126910388469696,400,500
e1b,49,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9896799931302667,400,500
e1b,50,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6717440448701382,400,500
e1b,51,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.1443089935928583,400,500
e1b,52,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9535829778760672,400,500
e1b,53,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.304288907907903,400,500
e1b,54,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8753759795799851,400,500
e1b,55,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9433139823377132,400,500
e1b,56,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.3739860150963068,400,500
e1b,57,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6682069981470704,400,500
e1b,58,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.541891018860042,400,500
